node_id,title,year,doi,publication_url,authors,venue,corpus_theme,document_role,toolkit_status,toolkit_join_status,audit_record_ids,manual_review_record_ids,template_ids,pdf_statuses,supplement_statuses,network_prominence_rank,network_prominence,within_network_citations_received,within_network_references,publication_fields_reviewed,publication_fields_implementation_ready,publication_fields_reviewed_missing,publication_fields_requiring_review,publication_review_progress_pct,publication_implementation_evidence_pct,toolkit_parameter_actions,PUB.S1.stimulus_type,PUB.S1.source_provenance,PUB.S1.trajectory_count,PUB.S1.trajectory_path,PUB.S1.stimulus_duration,PUB.S1.stimulus_speed,PUB.S1.auditory_conditions,PUB.S1.gain_envelope,PUB.S1.renderer_or_apparatus,PUB.S2.trial_rows_families,PUB.S2.condition_intermixing,PUB.S2.blocked_or_random_order,PUB.S2.iti_jitter_policy,PUB.S2.response_window,PUB.S2.task_sequence_rules,PUB.S3.tactile_stimulus,PUB.S3.soa_table,PUB.S3.baseline_strategy,PUB.S3.baseline_timing,PUB.S3.catch_trial_type,PUB.S4.repetitions_per_tactile_soa_condition,PUB.S4.baseline_count,PUB.S4.catch_count,PUB.S4.block_count,PUB.S4.total_trial_count,KIT.S0.profile_identity,KIT.S0.publication_reference,KIT.S0.profile_parameter_provenance,KIT.S1.source_stimulus_inventory,KIT.S1.trajectory_snapshots,KIT.S1.stimulus_duration,KIT.S2.trial_sequence_rows,KIT.S2.jitter_values_ms,KIT.S2.iti_jitter_policy,KIT.S3.soa_values_ms,KIT.S3.tactile_sites,KIT.S3.baseline_mode,KIT.S3.baseline_count,KIT.S3.catch_mode,KIT.S4.trial_pool_repetitions,KIT.S5.block_count,KIT.S5.row_order_constraints,KIT.S6.participants,KIT.S6.experiment_parts,KIT.S0.profile_gap,KIT.S1.profile_gap,KIT.S2.profile_gap,KIT.S3.profile_gap,KIT.S4.profile_gap,KIT.S5.profile_gap,KIT.S6.profile_gap
doi:10.1016/j.neuropsychologia.2015.03.001,Emotion-inducing approaching sounds shape the boundaries of multisensory peripersonal space.,2015,10.1016/j.neuropsychologia.2015.03.001,https://doi.org/10.1016/j.neuropsychologia.2015.03.001,Francesca Ferri; Ana Tajadura‐Jiménez; Aleksander Väljamäe; Roberta Vastano; Marcello Costantini,Neuropsychologia,theory_reviews,empirical,supported_incomplete,doi_matched_literature_audit,ferri_2015_artificial_valence | ferri_2015_ecological_valence,,ferri_2015_artificial_looming_valence | ferri_2015_ecological_looming_valence,needs_user_download,not_found | paywalled,11,0.583046176,22,9,0,0,0,25,0,0,6,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,encoded,encoded,encoded,encoded,encoded,encoded,encoded,defaulted,defaulted,encoded,encoded,encoded,encoded,encoded,inferred,encoded,encoded,encoded,defaulted,mixed,gap_missing,none,none,none,none,none
doi:10.3389/fpsyt.2014.00122,Cynophobic fear adaptively extends peri-personal space.,2014,10.3389/fpsyt.2014.00122,https://doi.org/10.3389/fpsyt.2014.00122,Marine Taffou; Isabelle Viaud‐Delmon,Frontiers in psychiatry,action_tools,empirical,supported_incomplete,doi_matched_literature_audit,taffou_2014_cynophobic_rear_looming,,taffou_2014_cynophobic_rear_looming,needs_user_download,needs_user_download,12,0.580277698,20,4,25,23,2,0,1,0.92,4,reported,not_reported_after_review,reported,reported,reported,derived,reported,not_reported_after_review,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,encoded,encoded,encoded,encoded,encoded,encoded,encoded,defaulted,defaulted,encoded,encoded,encoded,encoded,encoded,encoded,encoded,encoded,encoded,defaulted,none,gap_missing,none,none,none,none,none
doi:10.1038/srep02844,Amputation and prosthesis implantation shape body and peripersonal space representations.,2013,10.1038/srep02844,https://doi.org/10.1038/srep02844,Elisa Canzoneri; Marilena Marzolla; Amedeo Amoresano; G. Verni; Andrea Serino,Scientific reports,action_tools,empirical,runnable,doi_matched_manual_parameter_review,canzoneri_2013_amputation_prosthesis,canzoneri_2013_amputation_prosthesis,canzoneri_2013_amputation_prosthesis,downloaded,needs_user_download,13,0.571957774,21,6,23,22,1,0,1,0.9565217391304348,6,reported,reported_with_caveat,reported,reported,reported,not_applicable,reported,reported_with_caveat,reported,reported,reported,reported,not_reported_after_review,reported_with_caveat,reported,reported_with_caveat,reported,reported_absent,not_applicable,reported,reported,reported_absent,reported,reported,source_inconsistency_caveat,encoded,encoded,encoded,encoded,encoded,encoded,encoded,defaulted,defaulted,encoded,encoded,encoded,defaulted,encoded,encoded,encoded,encoded,encoded,defaulted,gap_defaulted,none,none,none,none,none,gap_defaulted
doi:10.1093/neucas/7.2.97,Auditory peripersonal space in humans: a case of auditory-tactile extinction.,2001,10.1093/neucas/7.2.97,https://doi.org/10.1093/neucas/7.2.97,E. Làdavas; F. Pavani; A. Farnè,Neurocase,animal_neurophysiology,empirical,supported_incomplete,doi_matched_literature_audit,ladavas_2001_auditory_tactile_extinction,,,paywalled,paywalled,14,0.571301504,4,0,0,0,0,25,0,0,26,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile
doi:10.1371/journal.pone.0006582,Motor properties of peripersonal space in humans.,2009,10.1371/journal.pone.0006582,https://doi.org/10.1371/journal.pone.0006582,Andrea Serino; Laura Annella; Alessio Avenanti,PloS one,animal_neurophysiology,empirical,supported_incomplete,doi_matched_literature_audit,serino_2009_tms,,,open_access_unavailable,not_checked,15,0.547633257,16,1,0,0,0,25,0,0,26,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile
doi:10.3389/fnbeh.2015.00004,Extending peripersonal space representation without tool-use: evidence from a combined behavioral-computational approach.,2015,10.3389/fnbeh.2015.00004,https://doi.org/10.3389/fnbeh.2015.00004,A. Serino; Elisa Canzoneri; M. Marzolla; G. di Pellegrino; E. Magosso,Frontiers in behavioral neuroscience,theory_reviews,methods,runnable,doi_matched_manual_parameter_review,serino_2015_toolless_sync_training,serino_2015_toolless_sync_training,serino_2015_toolless_sync_training,downloaded,needs_user_download,16,0.539403408,18,8,23,21,2,0,1,0.9130434782608695,5,reported,reported_with_caveat,reported,reported,reported,not_applicable,reported,not_reported_after_review,reported,reported,reported,reported,not_reported_after_review,reported,reported,reported,reported,reported_absent,not_applicable,reported,protocol_lineage_derived,reported_absent,derived,reported,derived,encoded,encoded,encoded,encoded,encoded,encoded,encoded,defaulted,defaulted,encoded,encoded,encoded,defaulted,encoded,encoded,encoded,encoded,encoded,defaulted,none,none,none,none,none,none,gap_defaulted
doi:10.1093/cercor/bhy156,Audio-Tactile and Peripersonal Space Processing Around the Trunk in Human Parietal and Temporal Cortex: An Intracranial EEG Study.,2018,10.1093/cercor/bhy156,https://doi.org/10.1093/cercor/bhy156,Fosco Bernasconi; Jean-Paul Noel; Hyeong-Dong Park; N. Faivre; M. Seeck; L. Spinelli; K. Schaller; O. Blanke; A. Serino,"Cerebral cortex (New York, N.Y. : 1991)",animal_neurophysiology,empirical,supported_incomplete,doi_matched_manual_parameter_review,ieeg_trunk_2018,ieeg_trunk_2018,,downloaded,needs_user_download,17,0.527724708,17,11,22,20,2,0,1,0.9090909090909091,26,reported,reported,reported,reported,reported,reported,reported,not_reported_after_review,reported,reported,reported,reported,reported,not_applicable,reported,reported,reported,reported,reported,not_applicable,reported,reported,not_applicable,not_reported_after_review,derived,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile
doi:10.3389/fpsyg.2015.00639,The wheelchair as a full-body tool extending the peripersonal space.,2015,10.3389/fpsyg.2015.00639,https://doi.org/10.3389/fpsyg.2015.00639,Giulia Galli; Jean‐Paul Noel; Elisa Canzoneri; Olaf Blanke; Andrea Serino,Frontiers in psychology,action_tools,empirical,runnable,doi_matched_literature_audit,galli_2015_wheelchair,,galli_2015_wheelchair_full_body,downloaded,needs_user_download,18,0.52326096,14,9,0,0,0,25,0,0,4,source_unavailable,source_unavailable,source_unavailable,inferred_low_confidence,inferred_low_confidence,source_unavailable,inferred_low_confidence,source_unavailable,inferred_low_confidence,inferred_low_confidence,inferred_low_confidence,inferred_low_confidence,inferred_low_confidence,inferred_low_confidence,inferred_low_confidence,inferred_low_confidence,source_unavailable,inferred_low_confidence,inferred_low_confidence,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,encoded,encoded,encoded,encoded,encoded,encoded,encoded,defaulted,defaulted,encoded,encoded,encoded,encoded,encoded,inferred,encoded,encoded,encoded,defaulted,none,none,none,none,none,none,none
doi:10.3389/fict.2017.00031,"Peripersonal Space: An Index of Multisensory Body–Environment Interactions in Real, Virtual, and Mixed Realities",2018,10.3389/fict.2017.00031,https://doi.org/10.3389/fict.2017.00031,A. Serino; Jean-Paul Noel; Robin Mange; Elisa Canzoneri; Elisa Pellencin; J. B. Ruiz; Fosco Bernasconi; O. Blanke; B. Herbelin,Frontiers ICT,animal_neurophysiology,empirical,supported_incomplete,doi_matched_literature_audit,serino_2018_mixed_reality_pps,,,downloaded,needs_user_download,19,0.51409396,12,14,0,0,0,25,0,0,26,inferred_low_confidence,source_unavailable,source_unavailable,inferred_low_confidence,inferred_low_confidence,inferred_low_confidence,inferred_low_confidence,source_unavailable,inferred_low_confidence,inferred_low_confidence,inferred_low_confidence,inferred_low_confidence,inferred_low_confidence,inferred_low_confidence,inferred_low_confidence,inferred_low_confidence,inferred_low_confidence,inferred_low_confidence,inferred_low_confidence,inferred_low_confidence,inferred_low_confidence,inferred_low_confidence,inferred_low_confidence,source_unavailable,inferred_low_confidence,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile
doi:10.1016/j.cortex.2017.08.033,Social perception of others shapes one's own multisensory peripersonal space.,2018,10.1016/j.cortex.2017.08.033,https://doi.org/10.1016/j.cortex.2017.08.033,Elisa Pellencin; M. Paladino; B. Herbelin; A. Serino,Cortex; a journal devoted to the study of the nervous system and behavior,action_tools,empirical,supported_incomplete,doi_matched_literature_audit,social_perception_2017,,,open_access_unavailable,not_found,20,0.51045469,9,12,0,0,0,25,0,0,26,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile
