study_row_id,network_node_id,profile_id,profile_source_file,current_toolkit_input_path,categorical_status,explicit_value_count,explicit_values_json,default_value_json
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.repetitions_per_condition,serialized_explicit,1,[30],1
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.trial_pool_repetition_defaults,serialized_explicit,1,"[{""audio_tactile"":30,""catch"":15,""default"":30}]",{}
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.trial_pool_repetition_defaults,serialized_explicit,1,"[{""audio_tactile"":30,""catch"":15,""default"":30}]",{}
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.trial_pool_repetition_defaults,serialized_explicit,1,"[{""audio_tactile"":30,""catch"":15,""default"":30}]",{}
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.soa_values_ms,serialized_explicit,1,"[[0,2]]","[300,800,1500,2200,2700]"
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.soa_values_ms,serialized_explicit,1,"[[0,2]]","[300,800,1500,2200,2700]"
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.soa_values_ms,serialized_explicit,1,"[[0,2]]","[300,800,1500,2200,2700]"
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.spatial_values_cm,serialized_explicit,1,"[[30.0,98.5]]","[100.0,83.3,60.0,36.7,20.0]"
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.spatial_values_cm,serialized_explicit,1,"[[30.0,98.5]]","[100.0,83.3,60.0,36.7,20.0]"
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.spatial_values_cm,serialized_explicit,1,"[[30.0,98.5]]","[100.0,83.3,60.0,36.7,20.0]"
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.pair_spatial_values_with_soas,serialized_explicit,1,[true],true
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.pair_spatial_values_with_soas,serialized_explicit,1,[true],true
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_personal_racket,study_templates/biggio_2017_personal_racket.json,design.protocol.pair_spatial_values_with_soas,serialized_explicit,1,[true],true
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_common_racket,study_templates/biggio_2017_common_racket.json,design.protocol.auditory_motion_directions,serialized_explicit,1,"[[""stationary_near"",""stationary_far""]]","[""looming""]"
doi:10.1016/j.neuropsychologia.2017.07.018,doi:10.1016/j.neuropsychologia.2017.07.018,biggio_2017_no_racket,study_templates/biggio_2017_no_racket.json,design.protocol.auditory_motion_directions,serialized_explicit,1,"[[""stationary_near"",""stationary_far""]]","[""looming""]"
