Trial_Number,Trial_Type,SOA_ms,Noise_Type,Respiratory_Phase
1,Audio-Tactile,300,Pink,Exhale
2,Audio-Tactile,300,Blue,Inhale
3,Audio-Tactile,300,White,Exhale
4,Audio-Tactile,300,Brown,Inhale
5,Audio-Tactile,800,Pink,Exhale
6,Audio-Tactile,800,Blue,Inhale
7,Audio-Tactile,800,White,Exhale
8,Audio-Tactile,800,Brown,Inhale
9,Audio-Tactile,1500,Pink,Exhale
10,Audio-Tactile,1500,Blue,Inhale
11,Audio-Tactile,1500,White,Exhale
12,Audio-Tactile,1500,Brown,Inhale
13,Audio-Tactile,2200,Pink,Exhale
14,Audio-Tactile,2200,Blue,Inhale
15,Audio-Tactile,2200,White,Exhale
16,Audio-Tactile,2200,Brown,Inhale
17,Audio-Tactile,2700,Pink,Exhale
18,Audio-Tactile,2700,Blue,Inhale
19,Audio-Tactile,2700,White,Exhale
20,Audio-Tactile,2700,Brown,Inhale
21,Baseline,300,N/A,Exhale
22,Baseline,300,N/A,Inhale
23,Baseline,800,N/A,Exhale
24,Baseline,800,N/A,Inhale
25,Baseline,1500,N/A,Exhale
26,Baseline,1500,N/A,Inhale
27,Baseline,2200,N/A,Exhale
28,Baseline,2200,N/A,Inhale
29,Baseline,2700,N/A,Exhale
30,Baseline,2700,N/A,Inhale
31,Catch,800,Pink,Exhale
32,Catch,1500,Brown,Inhale
33,Catch,2200,White,Exhale
34,Catch,2700,Blue,Inhale
